id,email,password_hash,created_at,role,api_key,last_login,is_active
0db30cf1-6f89-4dd2-b997-79d0f155e561,user_719587@corp.internal,$2b$12$JdAbTgBh9V7i416WnJHty9v.TRJlt05.4ufAsDw0/VN1nVvLyVg3z,2025-11-12T00:41:50Z,viewer,ak_live_3d33663b1cfb4c56802c5305,2026-02-09T17:06:39Z,false
cca6401c-4e8b-4969-b447-80267623f43b,user_4970721@corp.internal,$2b$12$rLACbYL0RW.8pGjopiKBjPp1AH7sytOk5Hu4Jh2/0/HyByvlsOKWy,2025-07-03T03:47:29Z,admin,ak_live_36c080078ff14a77ac2641d2,2026-01-26T07:07:50Z,true
2fc917fc-bc4a-400a-82a0-8c703deaf43f,user_4329028@ovhcloud.com,$2b$12$fVelXAeKZ.z0lmoWJ/USWOgTsIqvfSDk3AsmA2lRAZe97qqU79RfE,2025-04-25T17:54:38Z,billing,ak_test_ee1f26ab992d432ea1a8a9b7,2026-01-24T08:52:27Z,true
d583961c-02e0-4e24-b183-5cd4ae92f6cc,user_6696181@corp.internal,$2b$12$YaJLLBrJtRqIYIxVpZ.ISB.g3MCXMG7190EN7XZCfyOaB5/TaFCsC,2025-03-20T19:02:02Z,operator,ak_live_23ab1598581648b19fd6e067,2026-02-16T15:22:28Z,true
d0c749fa-7778-49d0-9a23-8385c6b0e376,user_811975@ovhcloud.com,$2b$12$UTWK9O/7DP1.Z45J3mZJfXsrgtbAfFQv7e5bAv0XWlg2ZOApRjs45,2025-09-10T07:14:24Z,support,ak_live_ad4ba993e28949a0b13a2905,2026-01-14T15:20:19Z,true
7bbeb710-6c24-4a09-8d18-1e3440fd7b3e,user_8792269@ovhcloud.com,$2b$12$ookI0iQI8327vgGzPOl8OIdjU8klCftdifBkhT9zq5WH.4oJCCf2E,2025-01-05T15:25:56Z,operator,ak_live_c94979056c9a4ff7862da3a4,2026-05-22T12:21:30Z,true
2d0b1391-0272-481b-ae2d-4337a613158a,user_6806536@lab.internal,$2b$12$QPJhmRNZKLb/H646bjHiZX0ERqxpfZCCgvZL1OsG1gOqsX2ApPv3Q,2025-07-04T22:32:01Z,viewer,ak_live_376d0f513d2d4e14a150b2d2,2026-01-09T19:07:43Z,true
6869bde3-3677-4b62-87b7-3f7388d897a0,user_3119728@ovhcloud.com,$2b$12$wt6K..NEUaDXFGczWkGVo.5SMa8p6g0rqADtEm/RHCx0cadFyMVLI,2025-12-21T15:08:56Z,api_user,ak_live_5c913656c1b640a7b0a0e73e,2026-03-11T17:32:21Z,false
92ed6c7c-fa0a-4f16-a824-05a7e0a32d99,user_9335392@corp.internal,$2b$12$D0tchud6S.tJA6P8nesTVVaQrbV6JV9d5IGElfCWkP1zvzhsfbvUk,2025-11-21T03:47:35Z,superadmin,ak_live_5cee2f8a1c324ce2997a09bc,2026-02-23T10:19:29Z,true
390afd98-1397-442a-b506-de33f06fc9eb,user_7075320@lab.internal,$2b$12$NWbvtkrbX/sIes7pDQmrPqE9RzaTqDmnOyVvrV7AyVT/EXvVOWb0b,2025-02-05T15:34:07Z,billing,ak_live_ae9a04f5875946e6aa3eb75d,2026-05-05T07:20:43Z,false
