id,email,password_hash,created_at,role,api_key,last_login,is_active
a2baa4ed-7046-48b5-b540-30ce9805a549,user_6252890@lab.internal,$2b$12$QAMIbbjcZXVajEAikICRrXr7U5EDmxqdqiEUz6K9P1GxQEQazw6Vp,2025-08-26T00:58:06Z,operator,ak_live_a70452e759614095a31ae46b,2026-04-10T17:16:19Z,true
4ac5c6a9-dc2c-416c-a15e-e3ac56148cf9,user_1933156@example.org,$2b$12$4aRnm2Vmed01cRkdOXkGWCvj.wjaEsGtNiRNLdowmyDQz4jXGBwuh,2025-04-15T17:50:45Z,operator,ak_live_211132600df24be58744f01c,2026-01-06T02:30:33Z,true
090a644d-56ea-4df5-badb-2c4c542e2618,user_7756795@example.org,$2b$12$Da4ELSr2ucFxopwpBp.ZyZnYa.sAAH40du5.bhfsg./zjJekLwxll,2025-01-22T05:28:19Z,api_user,ak_live_8cca4e8fe75549bea26872f5,2026-03-01T00:09:32Z,true
88a882e4-ebfc-4ebc-99e5-b7153de93fbe,user_881231@corp.internal,$2b$12$baXqdeniWMCKIsUloePR5Dsn8lFMaCH12XPc7VEhT.4kY5Y2tEjOI,2025-06-10T21:00:25Z,admin,ak_live_5569c8bc6ff442e2a797389f,2026-03-02T21:17:25Z,true
82c53ddc-79aa-46e6-bc69-2d02fb89871b,user_4704717@corp.internal,$2b$12$1M4yB2UYGqOhHv3XEnQNDgs4m.sAuCMiOOY3yhu6OX3SfJDebjNTB,2025-12-13T02:13:37Z,admin,ak_live_8fc2aaa9be7b4dad95cc6e21,2026-01-10T22:05:14Z,true
6ce13178-2279-4350-8417-f8d0cea9bd50,user_8076121@lab.internal,$2b$12$/jES8BmVyEZRGdgB2XZrl/PBoEm9mUp.5/4IgENhQ.jQkz2ca4uEM,2025-10-01T03:25:25Z,api_user,ak_live_9cfbe1b700604c7eb36b8fb4,2026-05-28T07:16:49Z,true
225b6872-6fbb-45ba-bb63-0e35751a8bc8,user_5646906@corp.internal,$2b$12$e8kRiWljPlPeWWcsL14owpQMgMT43YHD51JD9aCdeo2IH8PuSbLph,2025-07-22T18:05:53Z,api_user,ak_live_f29e33526bdd4a918334a20b,2026-04-08T20:26:47Z,false
78b2ec5d-3c81-4b5c-888f-7a44e7b20f6e,user_7816706@example.org,$2b$12$W.ZeFseCRKBP51bevvRor4U5tUGDhYjqB.V9bSSpbX4Os3FnJa6/O,2025-02-25T14:08:45Z,viewer,ak_live_3a3a15c756694ce9a6de353c,2026-05-20T21:48:22Z,false
f7499fcc-1bdb-402f-8410-ca375bdafb04,user_8371782@lab.internal,$2b$12$XnwLIamstgaXqOyjVK6BQWCDadQ7u0aZltYhucOFDG8YRNTV9BvMj,2025-10-12T10:12:26Z,admin,ak_live_c6d38ca8a06440a18561588c,2026-03-15T04:56:56Z,true
35c8382f-c37b-4bbf-b586-43df6927c5a9,user_2935963@corp.internal,$2b$12$8BJuopiAzAPd1lCsBLxFQWB6K65Pgijcne6L40RVFreKAMY.J5uGF,2025-09-06T00:31:43Z,api_user,ak_live_586394e91f1541e4bfa43e41,2026-03-02T21:52:23Z,true
